grass,age
IAP,47
LEGAL,61
NOT LEGAL,72
IAP,43
LEGAL,55
LEGAL,53
IAP,50
NOT LEGAL,23
IAP,45
NOT LEGAL,71
LEGAL,33
IAP,86
LEGAL,32
LEGAL,60
NOT LEGAL,76
LEGAL,33
LEGAL,56
LEGAL,62
LEGAL,31
IAP,43
LEGAL,58
LEGAL,32
NOT LEGAL,23
LEGAL,37
NOT LEGAL,25
NOT LEGAL,76
IAP,71
LEGAL,22
NOT LEGAL,74
LEGAL,75
LEGAL,32
LEGAL,68
IAP,55
LEGAL,46
IAP,58
NOT LEGAL,35
LEGAL,59
IAP,43
NOT LEGAL,58
LEGAL,79
LEGAL,40
IAP,44
DK,68
LEGAL,36
NOT LEGAL,70
LEGAL,28
NOT LEGAL,35
IAP,33
LEGAL,23
LEGAL,47
LEGAL,25
IAP,70
LEGAL,20
NOT LEGAL,41
IAP,53
LEGAL,42
NOT LEGAL,40
NOT LEGAL,57
LEGAL,59
IAP,35
NOT LEGAL,26
NOT LEGAL,35
DK,51
LEGAL,39
IAP,27
LEGAL,30
LEGAL,29
IAP,39
IAP,60
IAP,74
IAP,74
IAP,57
DK,80
LEGAL,70
IAP,35
LEGAL,49
IAP,36
IAP,37
LEGAL,78
NOT LEGAL,41
IAP,42
LEGAL,35
IAP,33
LEGAL,44
LEGAL,41
IAP,52
LEGAL,45
IAP,41
NOT LEGAL,41
NOT LEGAL,68
LEGAL,57
LEGAL,72
IAP,68
LEGAL,50
LEGAL,40
LEGAL,58
LEGAL,43
LEGAL,25
DK,33
NOT LEGAL,27
NOT LEGAL,58
LEGAL,66
IAP,66
LEGAL,89 OR OLDER
LEGAL,29
IAP,89 OR OLDER
LEGAL,78
IAP,52
IAP,50
NOT LEGAL,25
IAP,37
LEGAL,54
IAP,52
NOT LEGAL,48
NOT LEGAL,32
LEGAL,29
LEGAL,75
LEGAL,59
LEGAL,81
DK,69
IAP,55
NOT LEGAL,52
LEGAL,33
IAP,56
NOT LEGAL,71
NOT LEGAL,21
IAP,49
LEGAL,26
NOT LEGAL,33
IAP,36
LEGAL,68
IAP,27
LEGAL,60
IAP,48
LEGAL,47
IAP,36
NOT LEGAL,89 OR OLDER
LEGAL,64
IAP,38
LEGAL,62
IAP,62
DK,65
IAP,60
NOT LEGAL,47
LEGAL,62
LEGAL,51
LEGAL,43
LEGAL,47
NOT LEGAL,57
IAP,30
LEGAL,39
LEGAL,37
DK,52
IAP,61
LEGAL,58
IAP,31
NOT LEGAL,52
IAP,46
NOT LEGAL,25
IAP,54
NOT LEGAL,33
IAP,33
NOT LEGAL,61
IAP,65
DK,53
IAP,66
LEGAL,41
LEGAL,57
LEGAL,50
NOT LEGAL,75
LEGAL,22
LEGAL,27
DK,20
LEGAL,55
DK,49
IAP,51
IAP,56
LEGAL,41
DK,67
IAP,38
NOT LEGAL,76
IAP,66
NOT LEGAL,84
LEGAL,32
LEGAL,46
LEGAL,25
NOT LEGAL,67
IAP,34
IAP,29
NOT LEGAL,51
NOT LEGAL,39
NOT LEGAL,39
NOT LEGAL,51
IAP,40
IAP,32
NOT LEGAL,38
LEGAL,79
IAP,49
IAP,22
IAP,30
IAP,47
NOT LEGAL,55
LEGAL,30
LEGAL,29
LEGAL,37
LEGAL,67
IAP,38
NOT LEGAL,81
LEGAL,35
IAP,46
LEGAL,37
IAP,21
IAP,43
LEGAL,45
NOT LEGAL,76
NOT LEGAL,77
LEGAL,61
IAP,45
IAP,47
LEGAL,41
NOT LEGAL,19
NOT LEGAL,50
LEGAL,25
LEGAL,45
NOT LEGAL,21
IAP,48
NOT LEGAL,25
LEGAL,31
LEGAL,33
LEGAL,72
IAP,70
NOT LEGAL,66
NOT LEGAL,57
DK,81
LEGAL,23
IAP,48
NOT LEGAL,62
LEGAL,43
IAP,34
NOT LEGAL,36
NOT LEGAL,37
IAP,32
NOT LEGAL,53
LEGAL,42
IAP,51
IAP,44
DK,36
LEGAL,49
NOT LEGAL,49
NOT LEGAL,35
LEGAL,47
LEGAL,29
LEGAL,36
LEGAL,31
LEGAL,19
NOT LEGAL,25
IAP,30
IAP,62
NOT LEGAL,35
IAP,41
IAP,62
LEGAL,20
NOT LEGAL,42
IAP,30
NOT LEGAL,26
LEGAL,58
IAP,47
LEGAL,61
NOT LEGAL,44
LEGAL,75
DK,44
LEGAL,36
IAP,62
DK,37
IAP,69
LEGAL,48
LEGAL,44
NOT LEGAL,59
LEGAL,61
LEGAL,31
IAP,54
IAP,49
LEGAL,47
IAP,NA
IAP,83
LEGAL,38
NOT LEGAL,47
LEGAL,28
IAP,73
IAP,31
DK,55
NOT LEGAL,61
IAP,50
IAP,67
LEGAL,41
NOT LEGAL,22
IAP,60
LEGAL,36
IAP,39
LEGAL,40
IAP,23
LEGAL,63
NOT LEGAL,60
IAP,40
IAP,40
IAP,30
LEGAL,43
NOT LEGAL,52
IAP,NA
NOT LEGAL,25
LEGAL,NA
NOT LEGAL,58
LEGAL,60
NOT LEGAL,44
LEGAL,69
LEGAL,66
IAP,43
LEGAL,37
IAP,28
IAP,69
LEGAL,27
LEGAL,60
IAP,62
IAP,74
LEGAL,32
IAP,68
NOT LEGAL,39
IAP,21
IAP,52
IAP,46
NOT LEGAL,56
DK,60
LEGAL,22
IAP,42
NOT LEGAL,35
NOT LEGAL,42
NOT LEGAL,58
LEGAL,32
IAP,59
LEGAL,20
LEGAL,44
LEGAL,34
LEGAL,62
LEGAL,59
NOT LEGAL,51
LEGAL,37
NOT LEGAL,50
IAP,40
DK,53
IAP,52
LEGAL,52
IAP,36
NOT LEGAL,46
IAP,56
LEGAL,64
LEGAL,62
LEGAL,35
LEGAL,60
NOT LEGAL,36
IAP,62
LEGAL,30
LEGAL,27
IAP,79
LEGAL,60
IAP,51
NOT LEGAL,42
IAP,59
LEGAL,49
IAP,53
LEGAL,47
NOT LEGAL,41
NOT LEGAL,47
NOT LEGAL,64
IAP,80
LEGAL,61
LEGAL,34
NOT LEGAL,31
IAP,29
LEGAL,NA
LEGAL,68
LEGAL,89 OR OLDER
LEGAL,76
IAP,64
LEGAL,40
NOT LEGAL,27
IAP,56
DK,71
NOT LEGAL,29
LEGAL,74
LEGAL,30
NOT LEGAL,65
LEGAL,41
LEGAL,38
LEGAL,49
LEGAL,25
IAP,25
LEGAL,26
IAP,34
LEGAL,34
IAP,36
NOT LEGAL,59
NOT LEGAL,49
NOT LEGAL,45
NOT LEGAL,34
IAP,44
LEGAL,66
LEGAL,53
LEGAL,59
IAP,43
IAP,44
NOT LEGAL,68
NOT LEGAL,37
LEGAL,37
IAP,48
IAP,34
NOT LEGAL,25
IAP,44
NOT LEGAL,63
NOT LEGAL,26
IAP,64
NOT LEGAL,21
IAP,31
NOT LEGAL,27
LEGAL,53
LEGAL,70
NOT LEGAL,53
IAP,59
IAP,47
LEGAL,27
IAP,52
LEGAL,26
LEGAL,24
LEGAL,25
NOT LEGAL,44
NOT LEGAL,29
NOT LEGAL,57
IAP,61
IAP,66
LEGAL,48
IAP,26
LEGAL,29
NOT LEGAL,48
LEGAL,30
LEGAL,56
IAP,28
LEGAL,NA
IAP,65
LEGAL,43
IAP,49
LEGAL,19
IAP,30
LEGAL,67
LEGAL,37
LEGAL,40
IAP,65
NOT LEGAL,63
IAP,34
NOT LEGAL,37
LEGAL,48
IAP,81
LEGAL,58
LEGAL,64
LEGAL,37
LEGAL,66
LEGAL,31
LEGAL,64
IAP,57
LEGAL,59
LEGAL,29
IAP,59
LEGAL,59
LEGAL,71
NOT LEGAL,36
IAP,29
LEGAL,28
LEGAL,76
IAP,71
LEGAL,24
IAP,61
NOT LEGAL,34
IAP,48
LEGAL,27
NOT LEGAL,26
IAP,31
NOT LEGAL,61
NOT LEGAL,44
NOT LEGAL,84
IAP,73
DK,37
NOT LEGAL,82
NOT LEGAL,29
LEGAL,72
NOT LEGAL,37
NOT LEGAL,32
NOT LEGAL,23
IAP,50
IAP,34
NOT LEGAL,42
LEGAL,58
LEGAL,33
IAP,58
NOT LEGAL,22
LEGAL,24
DK,32
IAP,20
