"country","med.age","perc.1dollar","perc.basic2015sani","perc.safe2015sani","perc.basic2015water","perc.safe2015water","perc.in.school","female.in.school","male.in.school"
"Albania",32.9,1,98,65,91,69,91.8379,90.63177,92.9704
"Antigua and Barbuda",30.5,NA,88,NA,97,NA,80.64083,80.33786,80.94106
"Argentina",31.1,1,95,26,100,NA,97.26677,98.37124,96.19896
"Australia",37.2,NA,100,74,100,NA,98.21267,98.60708,97.83905
"Azerbaijan",29.7,1,89,NA,84,72,93.55221,92.58471,94.40168
"Bahrain",30.1,NA,100,93,100,99,96.39323,96.78244,96.01993
"Barbados",36.9,NA,96,NA,98,NA,95.35281,96.45,94.31128
"Belarus",39.3,1,94,76,98,94,97.73468,98.18613,97.30741
"Belgium",41.6,NA,99,97,100,98,98.14035,98.15797,98.12348
"Belize",23,NA,87,NA,97,NA,89.5333,89.13962,89.92035
"Bhutan",25.8,2.4,63,NA,98,34,81.97541,84.33497,79.68418
"Bolivia (Plurinational State of)",22.4,8,53,19,93,NA,87.89582,87.22136,88.54826
"Brazil",30.3,3.8,86,39,97,NA,92.482,92.82479,92.15378
"Brunei Darussalam",30.5,NA,96,NA,100,NA,90.19668,90.67994,89.74265
"Bulgaria",43,1,86,74,99,97,93.34393,92.45417,94.18293
"Burkina Faso",17.1,44.5,23,NA,54,NA,58.23391,57.34929,59.08696
"Cabo Verde",24.2,13.7,65,NA,86,NA,80.12623,80.43317,79.82304
"Cameroon",18.3,27.6,39,NA,65,NA,77.44594,73.09609,81.73338
"Canada",40.1,1,99,77,99,NA,95.81283,96.05354,95.58515
"Chile",33.1,1,100,85,100,98,92.69857,92.82822,92.57377
"Colombia",27.7,5.6,84,20,97,71,92.01945,92.56452,91.49632
"Costa Rica",29.7,1,97,NA,100,90,93.90919,94.10793,93.71929
"Croatia",42.6,1,97,60,100,90,94.76085,96.6136,93.00491
"Cuba",40.1,NA,91,31,95,NA,91.89853,92.84254,91.01017
"Cyprus",35.2,NA,99,76,100,100,97.01095,97.26324,96.76995
"Denmark",41.1,1,100,93,100,97,95.71858,96.30505,95.16228
"Djibouti",22.8,NA,51,NA,77,NA,47.14033,43.56935,50.62808
"Dominican Republic",25.8,2.3,83,NA,94,NA,85.54272,85.41801,85.66365
"Ecuador",26.1,4,86,42,93,74,93.20944,93.65811,92.77806
"El Salvador",24.1,2.5,91,NA,93,NA,83.49498,83.17826,83.80209
"Eritrea",18.4,NA,11,NA,19,NA,40.07211,37.14189,42.89979
"Estonia",40.9,1,100,93,100,82,94.95061,95.37483,94.54926
"Eswatini",20.1,39.3,58,NA,68,NA,78.21111,77.59859,78.82026
"Ethiopia",18.2,36.8,7,NA,39,11,66.40913,63.82139,68.94574
"Finland",42.3,1,99,92,100,97,97.94942,98.00904,97.89245
"France",40.6,NA,99,92,100,93,97.44548,97.7829,97.12358
"Georgia",37.6,14.1,85,NA,93,73,97.24844,98.13692,96.46058
"Ghana",20.6,NA,14,NA,78,27,83.94441,83.69561,84.18277
"Greece",42.8,1,99,75,100,99,92.49372,91.9947,92.96997
"Grenada",26.3,NA,88,NA,96,NA,95.39996,95.30846,95.48706
"Guatemala",19.4,13.7,67,NA,94,61,76.33354,75.01474,77.60021
"Honduras",21.9,16.5,80,NA,92,NA,68.50952,70.05153,67.02192
