"age","sex","parent","disabled","uses.lib","ses","raceth","educ","rurality"
34,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
53,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
49,"female","parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
73,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
63,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
85,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
34,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
69,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
73,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
35,"male","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","no","yes","high","Hispanic","Four-year degree or more","rural"
50,"female","not parent","no","no","low","Non-Hispanic White","< HS","rural"
18,"female","not parent","no","yes","medium","Hispanic","HS to 2-year degree","suburban"
50,"female","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","suburban"
87,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
59,"female","parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
48,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
92,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
50,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
94,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
18,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
67,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
43,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
83,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
78,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
79,"female","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
58,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
26,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
80,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
59,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
50,"female","not parent","yes","yes","medium","Hispanic","HS to 2-year degree","rural"
16,"female","not parent","no","yes","medium","Non-Hispanic White","< HS","urban"
90,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
52,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
41,"male","parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
41,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
90,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
73,"female","not parent","yes","no","medium","Hispanic","< HS","rural"
47,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
58,"female","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
67,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
84,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
75,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","not parent","no","no","high","Non-Hispanic White","HS to 2-year degree","rural"
68,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
39,"female","not parent","no","no","low","Non-Hispanic White","< HS","rural"
57,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
23,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
54,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
69,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
80,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
42,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
84,"male","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
74,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
34,"male","parent","no","no","high",NA,"Four-year degree or more","suburban"
67,"female","not parent","no","no","low","Non-Hispanic White","Four-year degree or more","urban"
19,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
79,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
68,"female","not parent","yes","no","medium","Non-Hispanic White","< HS","rural"
64,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
53,"female","not parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","suburban"
50,"female","not parent","no","yes","high","Non-Hispanic Black","Four-year degree or more","suburban"
50,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
84,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
17,"male","not parent","no","no","medium","Non-Hispanic White","< HS","suburban"
70,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
52,"male","not parent","no","no","low","Non-Hispanic Black","HS to 2-year degree","suburban"
58,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
59,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","not parent","no","yes","high",NA,"Four-year degree or more","urban"
44,"female","parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
65,"female","not parent","no","yes","low","Non-Hispanic Black","Four-year degree or more","suburban"
53,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
74,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
39,"female","parent","yes","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
79,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
70,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
61,"male","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
38,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
34,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
51,"male","not parent","no","yes","low","Non-Hispanic White","Four-year degree or more","rural"
37,"female","parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
50,"female","not parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
41,"female","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
86,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
84,"male","not parent","no","no","low",NA,"< HS","rural"
69,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
68,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
41,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
54,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
48,"female","not parent","yes","yes","medium","Non-Hispanic Black","Four-year degree or more","rural"
91,"female","not parent",NA,"yes","medium",NA,"< HS","rural"
53,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
52,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
87,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
63,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
49,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
45,"female","parent","no","yes","high",NA,"Four-year degree or more","suburban"
63,"male","not parent","yes","no","low","Non-Hispanic White","< HS","rural"
63,"male","not parent","yes","no","low","Non-Hispanic Black","HS to 2-year degree","urban"
87,"female","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
52,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
72,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
62,"female","not parent","no","yes","medium","Non-Hispanic Black","Four-year degree or more","urban"
29,"female","parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
88,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
65,"female","not parent","yes","no","medium","Non-Hispanic Black","< HS","rural"
66,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
51,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
76,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
73,"female","not parent","yes","no","low","Hispanic","< HS","rural"
62,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
86,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
71,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
44,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
82,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
74,"female","not parent","no","no","medium",NA,"Four-year degree or more","rural"
73,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"female","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
54,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
62,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
25,"female","parent","yes","no","low","Hispanic","HS to 2-year degree","rural"
49,"male","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
60,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
53,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
72,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
66,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
85,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
53,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
70,"female","not parent","yes","yes","medium","Non-Hispanic Black","Four-year degree or more","suburban"
17,"female","not parent","yes","no","medium","Non-Hispanic White","< HS","rural"
66,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
23,"female","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","urban"
75,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
52,"female","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
67,"female","not parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
87,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree",NA
19,"male","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
56,"male","not parent","no","yes","high","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","yes","no","medium","Hispanic","< HS",NA
NA,"male",NA,NA,"no","medium",NA,"Four-year degree or more","rural"
86,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"female","parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","urban"
64,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
63,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","urban"
53,"female","parent","yes","no","medium","Non-Hispanic White","< HS","rural"
49,"female","parent","yes","no","low","Non-Hispanic White","Four-year degree or more","rural"
70,"female","not parent","yes","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
72,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
58,"female","not parent","no","no","medium","Hispanic","Four-year degree or more","rural"
40,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
72,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
68,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
NA,"male","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
77,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
65,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
42,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
80,"female","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
63,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
46,"female","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
33,"female","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
59,"male","not parent","yes","no","low","Non-Hispanic White","< HS","urban"
63,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
45,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
67,"female","not parent","yes","yes","medium","Hispanic","Four-year degree or more","suburban"
75,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
59,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
42,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
57,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
75,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
59,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
30,"male","parent","no","no","medium","Hispanic","HS to 2-year degree","suburban"
NA,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
83,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
67,"male","not parent","yes","no","medium",NA,"Four-year degree or more","suburban"
73,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
37,"male","not parent","no","no","medium","Hispanic","< HS","suburban"
72,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
91,"female","not parent","no","no","high","Hispanic","HS to 2-year degree","rural"
68,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
79,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
79,"male","not parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
61,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
36,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
57,"male","parent","no","yes","high","Non-Hispanic Black","Four-year degree or more","rural"
78,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
65,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
44,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
74,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
26,"male","not parent","no","yes","medium","Hispanic","HS to 2-year degree","rural"
47,"male","parent","no","no","high","Non-Hispanic White","Four-year degree or more","suburban"
47,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
87,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
